Notice Date,Received Date,Effective Date,Company,County,No. Of Employees,LayoffIClosure Type,Address
07/03/2023,09/02/2023,David&rsquo;s Bridal, LLC,Contra Costa County,291,Layoff Permanent,1212 Fitzgerald Dr Pinole CA 94564
07/03/2023,09/02/2023,David&rsquo;s Bridal, LLC,Fresno County,31,Layoff Permanent,455 E Shaw Ave Fresno CA 93710
07/03/2023,09/02/2023,David&rsquo;s Bridal, LLC,Placer County,47,Layoff Permanent,1140 Galleria Blvd Roseville CA 95678
07/03/2023,09/02/2023,David&rsquo;s Bridal, LLC,San Diego County,291,Layoff Permanent,9820 Mission Gorge Rd Santee CA 92071
07/03/2023,09/02/2023,David&rsquo;s Bridal, LLC,San Diego County,35,Layoff Permanent,980 Camino De La Reina Ste A San Diego CA 92108
07/03/2023,09/02/2023,David&rsquo;s Bridal, LLC,Los Angeles County,351,Layoff Permanent,2050 Empire Ave Burbank CA 91504
07/05/2023,09/02/2023,David&rsquo;s Bridal, LLC,Kern County,27,Layoff Permanent,1210 Wible Rd Bakersfield CA 93304
07/05/2023,08/07/2023,Rico Corp. dba D'Addario Woodwinds,Los Angeles County,,Closure Permanent,8484 San Fernando Road Sun Valley CA 91352,
07/05/2023,09/02/2023,David's Bridal, LLC,Butte County,18,Layoff Permanent,1515 Springfield Drive Suite 100 Chico CA 95928
07/05/2023,09/02/2023,David's Bridal, LLC,Riverside County,27,Layoff Permanent,10325 Magnolia Ave Riverside CA 92505
07/05/2023,09/02/2023,David's Bridal, LLC,Riverside County,34,Layoff Permanent,24430 Village Walk PI Murrieta CA 92562
07/05/2023,09/02/2023,David's Bridal, LLC,Sacramento County,461,Layoff Permanent,1892 Arden Sacramento CA 95815 Way
07/05/2023,09/02/2023,David&rsquo;s Bridal, LLC,Santa Clara County,38,Layoff Permanent,3111 Stevens Creek San Jose CA 95117
07/05/2023,09/02/2023,David's Bridal, LLC,Stanislaus County,40,Layoff Permanent,2225 Plaza Pkwy Ste J-3 Modesto CA 95350
07/05/2023,08/07/2023,Nestle USA,Stanislaus County,75,Layoff Temporary,736 Garner Road Modesto CA 95357,
07/06/2023,08/04/2023,Sodexo, Inc. and Affiliates at Beverly Hospital,Los Angeles County,681,Layoff Permanent,309 W. Beverly Blvd Montebello CA 90640
07/06/2023,06/06/2023,Primary Health,San Francisco County,60,Layoff Permanent,595 Pacific Avenue Floor 4 San Francisco CA 94133,
07/06/2023,08/14/2023,Los Angeles Times Communications LLC,Los Angeles County,57,Layoff Permanent,2300 E. Imperial Highway El Segundo CA 90245,
07/06/2023,08/14/2023,Los Angeles Times Communications LLC,Los Angeles County,151,Layoff Permanent,2300 E. Imperial Highway El Segundo CA 90245,
07/07/2023,08/15/2023,HMSHost,Fresno County,691,Closure Permanent,5175 E Clinton Fresno CA 93727 Way,
07/07/2023,08/04/2023,Microsoft,Santa Clara County,2,Layoff Permanent,1045 La Avenida Mountain View CA 94043,
07/10/2023,09/08/2023,Rico Corp. dba D'Addario Woodwinds,Los Angeles County,,Layoff Permanent,8484 San Fernando Road Sun Valley CA 91352,
07/10/2023,08/12/2023,Henry Mayo Newhall Hospital,Los Angeles County,107,Layoff Permanent,23845 McBean Parkway Valencia CA 91355,
07/10/2023,06/08/2023,Sumo Logic, Inc:,San Mateo County,791,Layoff Permanent,855 Main St. Suite 100 Redwood City CA 94063
07/10/2023,06/30/2023,Monte Nido & Affiliates,Orange County,,Closure Permanent,2 Corporate Plaza Drive, Suite 200 Newport Beach CA 92660
07/10/2023,07/29/2023,La Tortilla Factory,San Diego County,5,Closure Permanent,2575 Pioneer Ave. Ste 107 Vista CA 92081,
07/11/2023,05/31/2023,Intel Corporation,Santa Clara County,781,Layoff Permanent,2200 Mission College Blvd. Santa Clara CA 95054,
06/15/2023,07/11/2023,09/01/2023,[Tropitone Furniture Company, Inc.,Riverside County,3 Closure Permanent,42202 Sarah Temecula CA 92590 Way
06/15/2023,07/11/2023,12/01/2023,Tropitone Furniture Company, Inc.,Riverside County,3 Closure Permanent,42202 Sarah Temecula CA 92590 Way
06/15/2023,07/11/2023,12/31/2023,Tropitone Furniture Company, Inc.,Riverside County,2|Closure Permanent,42202 Sarah Temecula CA 92590 Way
06/15/2023,07/11/2023,08/15/2023,SK hynix NAND Product Solutions Corp. dba Solidigm,Sacramento County,g8payoff Permanent,10951 White Rock Rd. Rancho Cordova CA 95670,
06/15/2023,07/11/2023,08/16/2023,MasterBrand Cabinets LLC,San Bernardino County,90 Layoff Permanent,3700 South Riverside Avenue Colton CA 92324,
06/16/2023,07/11/2023,08/16/2023,Rieke LLC,Sonoma County,49 Closure Permanent,1200 Valley House Drive #100 Rohnert Park CA 9492E,
06/16/2023,07/11/2023,10/24/2023,Rieke LLC,Sonoma County,21 Closure Permanent,1200 Valley House Drive #100 Rohnert Park CA 9492E,
06/13/2023,07/12/2023,08/15/2023,T. Hasegawa U.S.A Inc:,Orange County,13 Closure Permanent,25882 Wright Circle Foothill Ranch CA 92610,
06/13/2023,07/12/2023,08/13/2023,Front Porch Communities and Services,San Diego County,185 Closure Permanent,111 Third Avenue Chula Vista CA 91910,
06/21/2023,07/13/2023,07/21/2023,Illumina, Inc.,Alameda County,Layoff Permanent,25861 Industrial Blvd Hayward CA 94545
06/29/2023,07/13/2023,09/01/2023,Robinhood Markets, Inc.,San Mateo County,23 Layoff Permanent,85 Willow Road Menlo Park CA 94025
06/21/2023,07/13/2023,07/21/2023,Illumina, Inc.,San Mateo County,71|Layoff Permanent,200 Lincoln Centre Drive Foster City CA 94404
06/19/2023,07/13/2023,08/19/2023,FabFitFun Fulfillment Center,San Bernardino County,63 Layoff Permanent,14315 Pipeline Avenue Chino CA 91710,
06/21/2023,07/13/2023,07/21/2023,Illumina Inc. World Headquarters,San Diego County,64 Layoff Permanent,5200 Illumina San Diego CA 92122 Way,
06/21/2023,07/13/2023,07/21/2023,Illumina, Inc.,San Diego County,14 Layoff Permanent,4795 Executive Drivve San Diego CA 92121
06/16/2023,07/13/2023,08/25/2023,Jabil Inc:,San Joaquin County,53 Closure Temporary,550 Carnegie Street Manteca CA 95337,
06/12/2023,07/17/2023,08/11/2023,Boston Scientific Corporation,Alameda County,52 Closure Permanent,46400 Fremont Boulevard Fremont CA 94538,
05/31/2023,07/17/2023,05/31/2023,Inc: Gap,,Fresno County,2 Layoff Permanent,3400 Drive Fresno CA 93727 Gap
06/08/2023,07/17/2023,08/04/2023,Spotify USA Inc.,Los Angeles County,68 Layoff Permanent,555 S. Mateo Street Los Angeles CA 90013,
06/13/2023,07/17/2023,09/01/2023,Amgen,San Mateo County,Closure Permanent,835 Industrial Road, Suite 600 San Carlos CA 94070
05/31/2023,07/17/2023,05/31/2023,Inc_ Gap,,San Francisco County,31 Layoff Permanent,2 Folsom Street  San Francisco CA 94105
05/31/2023,07/17/2023,05/31/2023,Inc. Gap,,San Francisco County,Layoff Permanent,Harrison Street  San Francisco CA 94105
07/12/2023,07/19/2023,08/01/2023,Anchor Brewing Company, LLC,San Francisco County,55 Closure Permanent,1705 Mariposa Ave San Francisco CA 94107
06/20/2023,07/20/2023,06/30/2023,Winkontent Limited dba Monocle,Los Angeles County,3 Closure Permanent,8820 Washington Blvd. #105 Culver City CA 90232,
06/08/2023,07/20/2023,08/31/2023,Prolific Logistics LLC,San Bernardino County,136 Closure Permanent,1895 Marigold Avenue Redlands CA 92374,
06/21/2023,07/20/2023,06/28/2023,Anaplan, Inc.,San Francisco County,14 Layoff Permanent,50 Hawthorne Street   San Francisco CA 94105
06/21/2023,07/20/2023,07/21/2023,Anaplan, Inc:,San Francisco County,Layoff Permanent,50 Hawthorne Street  San Francisco CA 94105
06/21/2023,07/20/2023,08/21/2023,Anaplan, Inc.,San Francisco County,100|Layoff Permanent,50 Hawthorne Street  San Francisco CA 94105
06/21/2023,07/20/2023,09/21/2023,Anaplan; Inc:,San Francisco County,2 Layoff Permanent,50 Hawthorne Street  San Francisco CA 94105,
06/21/2023,07/20/2023,10/10/2023,Anaplan, Inc_,San Francisco County,2 Layoff Permanent,50 Hawthorne Street  San Francisco CA 94105
06/21/2023,07/24/2023,06/09/2023,Linkedln Corporation,Santa Clara County,102|Layoff Permanent,1000 W Maude Avenue Sunnyvale CA 94085,
06/21/2023,07/24/2023,06/09/2023,Linkedln Corporation,Santa Clara County,13 Layoff Permanent,700 E. Middlefield Road Mountain View CA 94043,
06/21/2023,07/24/2023,06/09/2023,Linkedln Corporation,San Francisco County,72|Layoff Permanent,222 Second Street  San Francisco CA 94105,
07/11/2023,07/24/2023,07/11/2023,Wells Fargo,San Francisco County,32 Layoff Permanent,333 Market St  San Francisco CA 94105,
07/11/2023,07/24/2023,07/11/2023,Wells Fargo,San Francisco County,10 Layoff Permanent,420 Montgomery St San Francisco CA 94104,
07/11/2023,07/24/2023,07/11/2023,Wells Fargo,San Francisco County,Layoff Permanent,525 Market St San Francisco CA 94105,
07/11/2023,07/24/2023,07/11/2023,Wells Fargo,San Francisco County,Layoff Permanent,550 California St San Francisco CA 94111,
06/07/2023,07/25/2023,08/06/2023,AMP Printing,Alameda County,54 Closure Permanent,6400 Sierra Court Dublin CA 94568,
06/07/2023,07/25/2023,08/06/2023,AMP Printing Mailing Address,Alameda County,35 Closure Permanent,6955 Sierra Court Dublin CA 94568,
05/19/2023,07/25/2023,07/30/2023,Amentum at NAS Lemoore,Kings County,32 Layoff Permanent,160 L St. Bldg 179 Lemoore CA 93246,
04/28/2023,07/25/2023,06/30/2023,Cotton On La Mirada Distribution Center,Los Angeles County,88 Closure Permanent,16509 Trojan La Mirada CA 90638 Way,
05/22/2023,07/25/2023,07/30/2023,Amentum at NAS North Island,San Diego County,73 Layoff Permanent,Bldg 873 Rogers Rd. San Diego CA 92135,
06/22/2023,07/26/2023,08/22/2023,Jabil Inc.,Alameda County,85|Layoff Permanent,122 Lindbergh Ave Livermore CA 94551,
06/22/2023,07/26/2023,08/22/2023,Jabil Inc:,Alameda County,28 Layoff Permanent,4050 Technology Place Fremont CA 94538,
06/21/2023,07/26/2023,08/16/2023,Individualized ABA Services for Families dba IABAS For Families,Alameda County,65 Closure Permanent,770 A Street Suite 201 Hayward CA 94541,
06/26/2023,07/26/2023,08/25/2023,Amyris , Inc.,Alameda County,65|Layoff Permanent,5885 Hollis St Emeryville CA 94608
06/21/2023,07/26/2023,08/14/2023,Company 3 Method Inc.,Los Angeles County,79 Layoff Permanent,3401 Exposition Blvd Santa Monica CA 90404,
06/23/2023,07/26/2023,08/23/2023,Lazy Dog Restaurant and Bar,Orange County,109 Closure Permanent,16310 Beach Boulevard Westminster CA 92683,
06/29/2023,07/27/2023,07/03/2023,Headspace, Inc.,Los Angeles County,158|Layoff Permanent,2417 Michigan Avenue Santa Monica CA 90404
06/28/2023,07/27/2023,08/31/2023,Scenario-Cockram USA, Inc.,Los Angeles County,43 Layoff Permanent,605 8th Street  San Fernando CA 91340
06/28/2023,07/27/2023,10/27/2023,Scenario-Cockram USA, Inc:,Los Angeles County,10 Layoff Permanent,605 &th Street   San Fernando CA 91340
06/27/2023,07/27/2023,07/28/2023,Proterra Operating Company, Inc.,San Mateo County,48|Layoff Permanent,1815 Rollins Road Burlingame CA 94010
06/28/2023,07/27/2023,07/29/2023,RSN Co. LLC dba Bally Sports San Diego,San Diego County,5 Closure Permanent,350 1Oth Ave. Suite 400 San Diego CA 92101,
